 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Ch2_MAX:Nuc1,184.44086,650.00549,219,4095,119887.56838,11256795
2,Ch2_MAX:Background,3.07792,168.70934,128,266,519.27375,48757
